row_index,domain_id,source_value,source_id,ground_truth_concept_id,ground_truth_concept_name,top_hits_json,standard_policy,result1_concept_id,result1_concept_name,result1_score,result1_vocabulary_id,result1_standard_concept,error
109,Condition,spinal stenosis of lumbar spine,110,136788,spinal stenosis of lumbar region,"[{""concept_id"": 136788, ""concept_name"": ""Spinal stenosis of lumbar region"", ""score"": 0.9879, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""18347007"", ""standard_concept"": ""S""}, {""concept_id"": 4152592, ""concept_name"": ""Spinal stenosis of lumbosacral region"", ""score"": 0.9239, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""370471003"", ""standard_concept"": ""S""}, {""concept_id"": 4179676, ""concept_name"": ""Stenosis of lateral recess of lumbar spine"", ""score"": 0.9063, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""427923007"", ""standard_concept"": ""S""}, {""concept_id"": 4002640, ""concept_name"": ""Degenerative lumbar spinal stenosis"", ""score"": 0.8706, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""202788007"", ""standard_concept"": ""S""}, {""concept_id"": 35622508, ""concept_name"": ""Stenosis of lumbar vertebral foramen"", ""score"": 0.8643, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""764273002"", ""standard_concept"": ""S""}]",s_or_c,136788.0,Spinal stenosis of lumbar region,0.9879,SNOMED,S,
110,Condition,Primary hyperparathyroidism,111,136934,primary hyperparathyroidism,"[{""concept_id"": 136934, ""concept_name"": ""Primary hyperparathyroidism"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""36348003"", ""standard_concept"": ""S""}, {""concept_id"": 4300058, ""concept_name"": ""Tertiary hyperparathyroidism"", ""score"": 0.9477, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""78200003"", ""standard_concept"": ""S""}, {""concept_id"": 133729, ""concept_name"": ""Hyperparathyroidism"", ""score"": 0.9146, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""66999008"", ""standard_concept"": ""S""}, {""concept_id"": 4029430, ""concept_name"": ""Familial hyperparathyroidism"", ""score"": 0.9053, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237653008"", ""standard_concept"": ""S""}, {""concept_id"": 138388, ""concept_name"": ""Secondary hyperparathyroidism"", ""score"": 0.8908, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""91478007"", ""standard_concept"": ""S""}]",s_or_c,136934.0,Primary hyperparathyroidism,1.0,SNOMED,S,
111,Condition,Seborrheic dermatitis,112,137053,seborrheic dermatitis,"[{""concept_id"": 137053, ""concept_name"": ""Seborrheic dermatitis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""50563003"", ""standard_concept"": ""S""}, {""concept_id"": 4033945, ""concept_name"": ""Seborrheic eczema-like eruption"", ""score"": 0.8971, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""238991008"", ""standard_concept"": ""S""}, {""concept_id"": 4290741, ""concept_name"": ""Chronic seborrheic dermatitis"", ""score"": 0.892, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""402204009"", ""standard_concept"": ""S""}, {""concept_id"": 4297481, ""concept_name"": ""Pityriasiform seborrheic dermatitis"", ""score"": 0.8818, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""402206006"", ""standard_concept"": ""S""}, {""concept_id"": 137626, ""concept_name"": ""Seborrheic dermatitis of scalp"", ""score"": 0.8782, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""156329007"", ""standard_concept"": ""S""}]",s_or_c,137053.0,Seborrheic dermatitis,1.0,SNOMED,S,
112,Condition,Myopathy,113,137275,disorder of muscle,"[{""concept_id"": 137275, ""concept_name"": ""Disorder of muscle"", ""score"": 0.9121, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""129565002"", ""standard_concept"": ""S""}, {""concept_id"": 72618, ""concept_name"": ""Disorder of skeletal muscle"", ""score"": 0.8815, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""75047002"", ""standard_concept"": ""S""}]",s_or_c,137275.0,Disorder of muscle,0.9121,SNOMED,S,
113,Condition,Cervical Radiculopathy,114,137548,cervical radiculopathy,"[{""concept_id"": 137548, ""concept_name"": ""Cervical radiculopathy"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""54404000"", ""standard_concept"": ""S""}, {""concept_id"": 4002173, ""concept_name"": ""Cervical radiculitis"", ""score"": 0.8862, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""11049006"", ""standard_concept"": ""S""}, {""concept_id"": 37168296, ""concept_name"": ""Lesion of cervical nerve root"", ""score"": 0.8736, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1279707003"", ""standard_concept"": ""S""}, {""concept_id"": 4001448, ""concept_name"": ""Cervical root syndrome"", ""score"": 0.8691, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""202776005"", ""standard_concept"": ""S""}, {""concept_id"": 4318677, ""concept_name"": ""Cervical nerve root compression"", ""score"": 0.8496, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""95671001"", ""standard_concept"": ""S""}]",s_or_c,137548.0,Cervical radiculopathy,1.0,SNOMED,S,
114,Condition,Postoperative hypothyroidism,115,137820,postoperative hypothyroidism,"[{""concept_id"": 137820, ""concept_name"": ""Postoperative hypothyroidism"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""27059002"", ""standard_concept"": ""S""}, {""concept_id"": 132583, ""concept_name"": ""Postablative hypothyroidism"", ""score"": 0.9709, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237527007"", ""standard_concept"": ""S""}, {""concept_id"": 134312, ""concept_name"": ""Iatrogenic hypothyroidism"", ""score"": 0.869, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""88273006"", ""standard_concept"": ""S""}, {""concept_id"": 605667, ""concept_name"": ""Hypothyroidism due to and following radiotherapy"", ""score"": 0.801, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1137378008"", ""standard_concept"": ""S""}, {""concept_id"": 4032331, ""concept_name"": ""Hypothyroidism following external beam radiation therapy"", ""score"": 0.7838, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""14779006"", ""standard_concept"": ""S""}]",s_or_c,137820.0,Postoperative hypothyroidism,1.0,SNOMED,S,
115,Condition,"Aplastic anemia, unspecified",116,137829,aplastic anemia,"[{""concept_id"": 137829, ""concept_name"": ""Aplastic anemia"", ""score"": 0.9043, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""306058006"", ""standard_concept"": ""S""}]",s_or_c,137829.0,Aplastic anemia,0.9043,SNOMED,S,
116,Condition,Atypical facial pain,117,137856,atypical facial pain,"[{""concept_id"": 137856, ""concept_name"": ""Atypical facial pain"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""71303008"", ""standard_concept"": ""S""}, {""concept_id"": 4317968, ""concept_name"": ""Pain in face"", ""score"": 0.8659, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""95668009"", ""standard_concept"": ""S""}, {""concept_id"": 4196899, ""concept_name"": ""Chronic pain in face"", ""score"": 0.8186, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""432615008"", ""standard_concept"": ""S""}, {""concept_id"": 42539376, ""concept_name"": ""Chronic secondary facial pain"", ""score"": 0.8126, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""762604001"", ""standard_concept"": ""S""}, {""concept_id"": 44783012, ""concept_name"": ""Craniofacial pain"", ""score"": 0.8085, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""699046000"", ""standard_concept"": ""S""}]",s_or_c,137856.0,Atypical facial pain,1.0,SNOMED,S,
117,Condition,Jaundice,118,137977,jaundice,"[{""concept_id"": 137977, ""concept_name"": ""Jaundice"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""18165001"", ""standard_concept"": ""S""}, {""concept_id"": 4144410, ""concept_name"": ""Yellow or jaundiced color"", ""score"": 0.8743, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""267030001"", ""standard_concept"": ""S""}, {""concept_id"": 4021666, ""concept_name"": ""Yellow skin"", ""score"": 0.7869, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""225549006"", ""standard_concept"": ""S""}, {""concept_id"": 4282941, ""concept_name"": ""Hepatocellular jaundice"", ""score"": 0.7861, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""66789005"", ""standard_concept"": ""S""}, {""concept_id"": 4032334, ""concept_name"": ""Hyperbilirubinemia"", ""score"": 0.7815, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""14783006"", ""standard_concept"": ""S""}]",s_or_c,137977.0,Jaundice,1.0,SNOMED,S,
118,Condition,Thyroid cyst,119,138113,cyst of thyroid,"[{""concept_id"": 138113, ""concept_name"": ""Cyst of thyroid"", ""score"": 0.9798, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""72325004"", ""standard_concept"": ""S""}, {""concept_id"": 40483308, ""concept_name"": ""Calcifying cyst of thyroid"", ""score"": 0.8764, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""445347002"", ""standard_concept"": ""S""}, {""concept_id"": 4130022, ""concept_name"": ""Mass of thyroid gland"", ""score"": 0.8203, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237557003"", ""standard_concept"": ""S""}, {""concept_id"": 4030041, ""concept_name"": ""Thyroid nodule"", ""score"": 0.8029, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""237495005"", ""standard_concept"": ""S""}, {""concept_id"": 605651, ""concept_name"": ""Hyperplastic thyroid nodule"", ""score"": 0.7699, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1137355002"", ""standard_concept"": ""S""}]",s_or_c,138113.0,Cyst of thyroid,0.9798,SNOMED,S,
119,Condition,Chronic lymphocytic leukemia of B-cell type,120,138379,"chronic lymphoid leukemia, disease","[{""concept_id"": 4173824, ""concept_name"": ""B-cell chronic lymphocytic leukemia variant"", ""score"": 0.9049, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""277474005"", ""standard_concept"": ""S""}, {""concept_id"": 138379, ""concept_name"": ""Chronic lymphoid leukemia, disease"", ""score"": 0.8972, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""92814006"", ""standard_concept"": ""S""}, {""concept_id"": 42513994, ""concept_name"": ""Neoplasm defined only by histology: B-cell chronic lymphocytic leukemia/small lymphocytic lymphoma"", ""score"": 0.7944, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9823/3-NULL"", ""standard_concept"": ""S""}]",s_or_c,4173824.0,B-cell chronic lymphocytic leukemia variant,0.9049,SNOMED,S,
120,Condition,"hyperthyroidism, Without thyrotoxic crisis or storm",121,138387,thyrotoxicosis,"[{""concept_id"": 4142479, ""concept_name"": ""Hyperthyroidism"", ""score"": 0.8246, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""34486009"", ""standard_concept"": ""S""}, {""concept_id"": 4113641, ""concept_name"": ""Thyrotoxicosis with or without goiter"", ""score"": 0.8162, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""286909009"", ""standard_concept"": ""S""}, {""concept_id"": 133727, ""concept_name"": ""Thyrotoxicosis without goiter or other cause"", ""score"": 0.8096, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""89719007"", ""standard_concept"": ""S""}, {""concept_id"": 138387, ""concept_name"": ""Thyrotoxicosis"", ""score"": 0.7885, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""90739004"", ""standard_concept"": ""S""}]",s_or_c,4142479.0,Hyperthyroidism,0.8246,SNOMED,S,
121,Condition,Secondary hyperparathyroidism,122,138388,secondary hyperparathyroidism,"[{""concept_id"": 138388, ""concept_name"": ""Secondary hyperparathyroidism"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""91478007"", ""standard_concept"": ""S""}, {""concept_id"": 4300058, ""concept_name"": ""Tertiary hyperparathyroidism"", ""score"": 0.9597, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""78200003"", ""standard_concept"": ""S""}, {""concept_id"": 45769895, ""concept_name"": ""Secondary hyperparathyroidism of nonrenal origin"", ""score"": 0.9436, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""89471000119102"", ""standard_concept"": ""S""}, {""concept_id"": 133729, ""concept_name"": ""Hyperparathyroidism"", ""score"": 0.9405, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""66999008"", ""standard_concept"": ""S""}]",s_or_c,138388.0,Secondary hyperparathyroidism,1.0,SNOMED,S,
122,Condition,Cholinergic urticaria,123,138501,cholinergic urticaria,"[{""concept_id"": 138501, ""concept_name"": ""Cholinergic urticaria"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""73098005"", ""standard_concept"": ""S""}, {""concept_id"": 4033333, ""concept_name"": ""Persisting cholinergic urticaria"", ""score"": 0.9313, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""238690006"", ""standard_concept"": ""S""}, {""concept_id"": 4292366, ""concept_name"": ""Cholinergic angioedema"", ""score"": 0.8358, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""402411005"", ""standard_concept"": ""S""}, {""concept_id"": 4292367, ""concept_name"": ""Cholinergic dermographism"", ""score"": 0.8051, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""402412003"", ""standard_concept"": ""S""}, {""concept_id"": 132983, ""concept_name"": ""Dermatographic urticaria"", ""score"": 0.7858, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""7632005"", ""standard_concept"": ""S""}]",s_or_c,138501.0,Cholinergic urticaria,1.0,SNOMED,S,
123,Condition,Vitiligo,124,138502,vitiligo,"[{""concept_id"": 138502, ""concept_name"": ""Vitiligo"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""56727007"", ""standard_concept"": ""S""}, {""concept_id"": 4296217, ""concept_name"": ""Generalized vitiligo"", ""score"": 0.9032, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403269008"", ""standard_concept"": ""S""}, {""concept_id"": 4293575, ""concept_name"": ""Localized vitiligo"", ""score"": 0.8977, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403267005"", ""standard_concept"": ""S""}, {""concept_id"": 4299692, ""concept_name"": ""Segmental vitiligo"", ""score"": 0.8835, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403268000"", ""standard_concept"": ""S""}, {""concept_id"": 1340501, ""concept_name"": ""Exacerbation of vitiligo"", ""score"": 0.8665, ""vocabulary_id"": ""OMOP Extension"", ""domain_id"": ""Condition"", ""concept_code"": ""OMOP5166156"", ""standard_concept"": ""S""}]",s_or_c,138502.0,Vitiligo,1.0,SNOMED,S,
124,Condition,acute leukemia,125,138708,acute leukemia,"[{""concept_id"": 138708, ""concept_name"": ""Acute leukemia"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""91855006"", ""standard_concept"": ""S""}, {""concept_id"": 134305, ""concept_name"": ""Acute lymphoid leukemia"", ""score"": 0.8219, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""91857003"", ""standard_concept"": ""S""}, {""concept_id"": 140352, ""concept_name"": ""Acute myeloid leukemia, disease"", ""score"": 0.8211, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""91861009"", ""standard_concept"": ""S""}]",s_or_c,138708.0,Acute leukemia,1.0,SNOMED,S,
125,Condition,Actinic keratosis,126,138825,actinic keratosis,"[{""concept_id"": 138825, ""concept_name"": ""Actinic keratosis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""201101007"", ""standard_concept"": ""S""}, {""concept_id"": 42709861, ""concept_name"": ""Hyperkeratotic actinic keratosis"", ""score"": 0.9742, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""449733007"", ""standard_concept"": ""S""}, {""concept_id"": 4296207, ""concept_name"": ""Proliferative actinic keratosis"", ""score"": 0.9584, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403201009"", ""standard_concept"": ""S""}, {""concept_id"": 4293437, ""concept_name"": ""Atrophic actinic keratosis"", ""score"": 0.9511, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403200005"", ""standard_concept"": ""S""}, {""concept_id"": 4300445, ""concept_name"": ""Acantholytic actinic keratosis"", ""score"": 0.9372, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403199007"", ""standard_concept"": ""S""}]",s_or_c,138825.0,Actinic keratosis,1.0,SNOMED,S,
126,Condition,Myelitis,127,138965,myelitis,"[{""concept_id"": 138965, ""concept_name"": ""Myelitis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""41370002"", ""standard_concept"": ""S""}, {""concept_id"": 4254268, ""concept_name"": ""Meningomyelitis"", ""score"": 0.8741, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""74772000"", ""standard_concept"": ""S""}, {""concept_id"": 36715536, ""concept_name"": ""Infection causing myelitis"", ""score"": 0.8715, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""721244002"", ""standard_concept"": ""S""}, {""concept_id"": 4104546, ""concept_name"": ""Meningoencephalomyelitis"", ""score"": 0.8516, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""29197009"", ""standard_concept"": ""S""}, {""concept_id"": 373189, ""concept_name"": ""Encephalomyelitis"", ""score"": 0.8375, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""62950007"", ""standard_concept"": ""S""}]",s_or_c,138965.0,Myelitis,1.0,SNOMED,S,
127,Condition,Myelodysplastic syndrome,128,138994,myelodysplastic syndrome (clinical),"[{""concept_id"": 36402771, ""concept_name"": ""Myelodysplastic syndrome, NOS, of blood"", ""score"": 0.9329, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9989/3-C42.0"", ""standard_concept"": ""S""}, {""concept_id"": 44502674, ""concept_name"": ""Myelodysplastic syndrome, NOS, of bone marrow"", ""score"": 0.9225, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9989/3-C42.1"", ""standard_concept"": ""S""}, {""concept_id"": 37166870, ""concept_name"": ""Hypoplastic myelodysplastic syndrome"", ""score"": 0.9113, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""1260270005"", ""standard_concept"": ""S""}, {""concept_id"": 40492268, ""concept_name"": ""Myelodysplastic/myeloproliferative disease"", ""score"": 0.8902, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""445738007"", ""standard_concept"": ""S""}, {""concept_id"": 4228474, ""concept_name"": ""Bone marrow myeloid dysplasia"", ""score"": 0.8202, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""405717004"", ""standard_concept"": ""S""}]",s_or_c,36402771.0,"Myelodysplastic syndrome, NOS, of blood",0.9329,ICDO3,S,
128,Condition,Ingrowing nail,129,139099,ingrowing nail,"[{""concept_id"": 139099, ""concept_name"": ""Ingrowing nail"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""400097005"", ""standard_concept"": ""S""}, {""concept_id"": 4290993, ""concept_name"": ""Ingrowing toenail"", ""score"": 0.8631, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""400200009"", ""standard_concept"": ""S""}, {""concept_id"": 4065237, ""concept_name"": ""Ingrowing thumbnail"", ""score"": 0.8403, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""201110004"", ""standard_concept"": ""S""}, {""concept_id"": 4063451, ""concept_name"": ""Ingrowing great toenail"", ""score"": 0.84, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""201108001"", ""standard_concept"": ""S""}, {""concept_id"": 36676420, ""concept_name"": ""Paronychia due to ingrown nail"", ""score"": 0.823, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""773296007"", ""standard_concept"": ""S""}]",s_or_c,139099.0,Ingrowing nail,1.0,SNOMED,S,
129,Condition,Acute transverse myelitis,130,139803,acute transverse myelitis,[],s_or_c,,,,,,
130,Condition,Urticaria,131,139900,urticaria,"[{""concept_id"": 139900, ""concept_name"": ""Urticaria"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""126485001"", ""standard_concept"": ""S""}, {""concept_id"": 139902, ""concept_name"": ""Allergic urticaria"", ""score"": 0.8892, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""40178009"", ""standard_concept"": ""S""}, {""concept_id"": 4299303, ""concept_name"": ""Acute urticaria"", ""score"": 0.8851, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""402408009"", ""standard_concept"": ""S""}]",s_or_c,139900.0,Urticaria,1.0,SNOMED,S,
131,Condition,Idiopathic myelofibrosis,132,140064,primary myelofibrosis,"[{""concept_id"": 140064, ""concept_name"": ""Primary myelofibrosis"", ""score"": 0.8575, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""307651005"", ""standard_concept"": ""S""}, {""concept_id"": 760840, ""concept_name"": ""Myelofibrosis due to another disorder"", ""score"": 0.7885, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""119031000119101"", ""standard_concept"": ""S""}, {""concept_id"": 133169, ""concept_name"": ""Myelofibrosis"", ""score"": 0.7876, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""52967002"", ""standard_concept"": ""S""}, {""concept_id"": 44782465, ""concept_name"": ""Ischemic myelofibrosis"", ""score"": 0.7657, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""699293000"", ""standard_concept"": ""S""}, {""concept_id"": 36552378, ""concept_name"": ""Primary myelofibrosis of lymph node, NOS"", ""score"": 0.7478, ""vocabulary_id"": ""ICDO3"", ""domain_id"": ""Condition"", ""concept_code"": ""9961/3-C77.9"", ""standard_concept"": ""S""}]",s_or_c,140064.0,Primary myelofibrosis,0.8575,SNOMED,S,
132,Condition,"Pure red cell aplasia, unspecified",133,140065,pure red cell aplasia,"[{""concept_id"": 140065, ""concept_name"": ""Pure red cell aplasia"", ""score"": 0.9199, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""50715003"", ""standard_concept"": ""S""}]",s_or_c,140065.0,Pure red cell aplasia,0.9199,SNOMED,S,
133,Condition,psoriasis,134,140168,psoriasis,"[{""concept_id"": 140168, ""concept_name"": ""Psoriasis"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""9014002"", ""standard_concept"": ""S""}, {""concept_id"": 4307925, ""concept_name"": ""Psoriasis vulgaris"", ""score"": 0.9092, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""200975007"", ""standard_concept"": ""S""}, {""concept_id"": 4063431, ""concept_name"": ""Plaque psoriasis"", ""score"": 0.9065, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""200965009"", ""standard_concept"": ""S""}, {""concept_id"": 4031645, ""concept_name"": ""Flexural psoriasis"", ""score"": 0.8782, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""238600001"", ""standard_concept"": ""S""}, {""concept_id"": 4066488, ""concept_name"": ""Psoriasis universalis"", ""score"": 0.8646, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""200974006"", ""standard_concept"": ""S""}]",s_or_c,140168.0,Psoriasis,1.0,SNOMED,S,
134,Condition,Telogen effluvium,135,140173,telogen effluvium,"[{""concept_id"": 140173, ""concept_name"": ""Telogen effluvium"", ""score"": 1, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""39479004"", ""standard_concept"": ""S""}, {""concept_id"": 4300916, ""concept_name"": ""Chronic telogen effluvium"", ""score"": 0.9368, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""403328001"", ""standard_concept"": ""S""}, {""concept_id"": 36716819, ""concept_name"": ""Acute telogen effluvium"", ""score"": 0.8453, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""723005006"", ""standard_concept"": ""S""}, {""concept_id"": 4313298, ""concept_name"": ""Anagen effluvium"", ""score"": 0.8292, ""vocabulary_id"": ""SNOMED"", ""domain_id"": ""Condition"", ""concept_code"": ""86160006"", ""standard_concept"": ""S""}, {""concept_id"": 42596262, ""concept_name"": ""Nonsymmetrical loss of hair"", ""score"": 0.8216, ""vocabulary_id"": ""SNOMED Veterinary"", ""domain_id"": ""Condition"", ""concept_code"": ""309951000009109"", ""standard_concept"": ""S""}]",s_or_c,140173.0,Telogen effluvium,1.0,SNOMED,S,
